Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.646042844	39594.43359	2.012714863	101653.4531	0.058666133	60992.07188	101653.4531	60992.07188	55992.07188	1901.85	29.44084543	47934.37765
0.646100564	40326.82422	2.348188162	101621.1875	0.059043542	60972.7125	101621.1875	60972.7125	55972.7125	1901.85	29.43066619	57418.49549
0.646158012	40796.13281	2.670067787	101567.6875	0.058856589	60940.6125	101567.6875	60940.6125	55940.6125	1901.85	29.41378789	60940.6125
0.646216626	41607.17578	3.002487183	101521.5781	0.05945642	60912.94688	101521.5781	60912.94688	55912.94688	1901.85	29.3992412	60912.94688
0.646274358	41117.67578	3.297799587	101520.2734	0.059450872	60912.16406	101520.2734	60912.16406	55912.16406	1901.85	29.39882959	60912.16406
0.646331711	41313.80078	3.59939146	101527.8828	0.059405708	60916.72969	101527.8828	60916.72969	55916.72969	1901.85	29.40123022	60916.72969
0.646389638	41094.50781	3.879826307	101476.1328	0.059461436	60885.67969	101476.1328	60885.67969	55885.67969	1901.85	29.38490401	60885.67969
0.646448014	40327.26172	4.149282455	101431.9922	0.059336814	60859.19531	101431.9922	60859.19531	55859.19531	1901.85	29.37097842	60859.19531
0.646505963	40603.19141	4.402327061	101244.6719	0.058991478	60746.80313	101244.6719	60746.80313	55746.80313	1901.85	29.31188218	60746.80313
0.64656383	40386.0625	4.631611347	100963.1484	0.059132744	60577.88906	100963.1484	60577.88906	55577.88906	1901.85	29.22306652	60577.88906
0.646621311	39455.58984	4.854230404	100691.0078	0.058872671	60414.60469	100691.0078	60414.60469	55414.60469	1901.85	29.13721097	60414.60469
0.646679524	38891.97656	5.077722073	100407.8125	0.058577958	60244.6875	100407.8125	60244.6875	55244.6875	1901.85	29.04786787	60244.6875
0.646737303	38976.16797	5.283240795	100102.7422	0.059500757	60061.64531	100102.7422	60061.64531	55061.64531	1901.85	28.95162358	60061.64531
0.646795256	39599.14844	5.471993446	99794.44531	0.060013111	59876.66719	99794.44531	59876.66719	54876.66719	1901.85	28.85436138	59876.66719
0.646852571	39932.05469	5.646509647	99459.57813	0.060121728	59675.74688	99459.57813	59675.74688	54675.74688	1901.85	28.74871671	59675.74688
0.646911	39970.89453	5.819345951	99122.125	0.059738166	59473.275	99122.125	59473.275	54473.275	1901.85	28.64225622	59473.275
