Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	Fill time (s)	air fill model (Pa)
0.650705528	27390.74414	2.256495714	97041.19531	0.035713795	58224.71719	97041.19531	58224.71719	53224.71719	57.5402348	50512.99869
0.650763616	24076.4375	2.454081059	96887.69531	0.035085402	58132.61719	96887.69531	58132.61719	53132.61719	57.44066723	55153.75695
0.650821185	22122.8418	2.555326223	96645.35156	0.034724652	57987.21094	96645.35156	57987.21094	52987.21094	57.28347128	57987.21094
0.65087966	22097.54102	2.67570734	96814.20313	0.034476956	58088.52188	96814.20313	58088.52188	53088.52188	57.39299662	58088.52188
0.650937553	21258.40234	2.81837678	97752.46875	0.035516679	58651.48125	97752.46875	58651.48125	53651.48125	58.00160135	58651.48125
0.650995183	22073.28516	2.941333771	98734.67969	0.035148038	59240.80781	98734.67969	59240.80781	54240.80781	58.63871115	59240.80781
0.651052728	22559	3.056082964	99786.00781	0.034192473	59871.60469	99786.00781	59871.60469	54871.60469	59.32065372	59871.60469
0.651110723	22314.42969	3.14804101	100756.1641	0.03422357	60453.69844	100756.1641	60453.69844	55453.69844	59.94994426	60453.69844
0.651168474	22879.31836	3.255416393	101049.2344	0.034719945	60629.54063	101049.2344	60629.54063	55629.54063	60.14004392	60629.54063
0.651226895	23138.49609	3.34960413	100790.9453	0.034309461	60474.56719	100790.9453	60474.56719	55474.56719	59.97250507	60474.56719
0.651284517	21629.9082	3.472490788	100600.6406	0.033390698	60360.38438	100600.6406	60360.38438	55360.38438	59.84906419	60360.38438
0.651342089	21821.93945	3.641686916	100338.1172	0.033590851	60202.87031	100338.1172	60202.87031	55202.87031	59.67877872	60202.87031
0.651400112	22159.45898	3.804461241	100105.5391	0.034100915	60063.32344	100105.5391	60063.32344	55063.32344	59.52791723	60063.32344
0.651457618	20181.33398	3.938128948	99952.42969	0.034083044	59971.45781	99952.42969	59971.45781	54971.45781	59.42860304	59971.45781
0.651516094	22801.34961	4.078685761	99824.8125	0.03440088	59894.8875	99824.8125	59894.8875	54894.8875	59.34582432	59894.8875
0.651573341	24969.14844	4.323061466	99637.82813	0.034453648	59782.69688	99637.82813	59782.69688	54782.69688	59.22453716	59782.69688
0.651632014	26852.29883	4.46564436	99493.73438	0.035378294	59696.24063	99493.73438	59696.24063	54696.24063	59.13107095	59696.24063
0.651689592	26887.79102	4.553265572	99340.17969	0.035245687	59604.10781	99340.17969	59604.10781	54604.10781	59.03146791	59604.10781
0.651747633	26528.85156	4.626893044	99176.05469	0.034913341	59505.63281	99176.05469	59505.63281	54505.63281	58.92500845	59505.63281
0.651805339	27159.28516	4.71175909	99023.55469	0.035052115	59414.13281	99023.55469	59414.13281	54414.13281	58.82608953	59414.13281
0.651863135	25663.20703	4.790277958	98883.03906	0.034393065	59329.82344	98883.03906	59329.82344	54329.82344	58.73494426	59329.82344
0.65192133	23812.96875	4.901025772	98740.25781	0.034830233	59244.15469	98740.25781	59244.15469	54244.15469	58.64232939	59244.15469
